,name,code,credit,quota,campus,classroom
15,美術教學實習（教）,ATUE010,2,60,本部,美506
103,物理教學實習（一）（教）,PHUE110,2,60,公館,Ｓ307
117,物理教材教法（教）,PHUE001,2,60,公館,Ｓ303
144,物理教學實習（一）（教）,PHUE110,2,60,公館,Ｓ407
219,數學教學實習（一）（教）,MAUE110,2,36,公館,數學館M211
258,數學教材教法（教）,MAUE001,2,60,公館,數學館M211
265,學習評量（教）,MAUE074,2,60,公館,數學館M212
270,教學媒體與運用（教）,MAUE076,2,60,公館,理圖801
276,數學教學實習（一）（教）,MAUE110,2,40,公館,數學館417教學實驗室
376,資訊科技教材教法（教）,CSUE301,2,60,公館,Ｓ203
413,體育（土風舞）,00UP049,1,55,本部,大韻律教室
414,體育（藤球初級）,00UP343,1,33,公館,中正堂
415,體育（桌球初級）,00UP111,1,53,本部,桌球室
416,體育校隊（田徑）,00UP901,1,55,,
417,體育（高爾夫球）,00UP026,1,55,本部,金牌講堂
418,體育校隊（排球）,00UP905,1,55,,
419,體育（羽球初級）,00UP109,1,33,公館,中正堂
420,體育（健康體適能）,00UP052,1,55,本部,大韻律教室
421,體育（直排輪）,00UP038,1,33,本部,日光大道
422,體育（重量訓練初級）,00UP134,1,50,本部,重量訓練室一
423,體育（肌力與體能訓練初級）,00UP040,1,45,本部,重量訓練室一
424,體育（排球初級）,00UP105,1,55,公館,體育館二3樓
425,體育（桌球初級）,00UP111,1,53,本部,桌球室
426,體育（游泳初級）,00UP115,1,33,本部,游泳館一
427,體育（網球初級）,00UP110,1,36,本部,網球場一
428,體育（瑜珈）,00UP146,1,32,本部,小韻律教室
429,體育（太極拳初級）,00UP121,1,55,本部,武術房一
430,體育（太極拳初級）,00UP121,1,55,本部,武術房一
431,體育（瑜珈）,00UP146,1,33,本部,小韻律教室
432,體育（芭蕾舞初級）,00UP055,1,45,本部,大韻律教室
433,體育（木球初級）,00UP136,1,55,本部,操場一
434,體育（芭蕾舞中級）,00UP248,1,45,本部,大韻律教室
435,體育（水中有氧初級）,00UP142,1,33,本部,小游泳池
436,體育（游泳初級）,00UP115,1,33,本部,游泳館一
437,體育（軟式棒球）,00UP339,1,60,本部,操場一
438,體育（有氧舞蹈）,00UP024,1,55,本部,武術房一
439,體育（桌球初級）,00UP111,1,53,本部,桌球室
440,體育（排球初級）,00UP105,1,55,公館,體育館二3樓
441,體育（肌力與體能訓練初級）,00UP040,1,45,本部,重量訓練室一
442,體育（桌球中級）,00UP211,1,53,本部,桌球室
443,體育（籃球初級）,00UP104,1,55,本部,室外籃球場一
444,體育（定向越野）,00UP148,1,55,本部,金牌講堂
445,體育（健康體適能）,00UP052,1,33,本部,小韻律教室
446,體育（羽球初級）,00UP109,1,30,公館,中正堂
447,體育（桌球初級）,00UP111,1,53,本部,桌球室
448,體育校隊（桌球）,00UP911,1,55,,
449,體育（國術）,00UP013,1,55,本部,武術房一
450,體育（定向越野）,00UP148,1,55,本部,金牌講堂
451,體育（羽球初級）,00UP109,1,55,本部,體育館一4F
452,體育（健康體適能）,00UP052,1,50,本部,重量訓練室一
453,體育（籃球初級）,00UP104,1,55,本部,室外籃球場一
454,體育（肌力與體能訓練初級）,00UP040,1,45,公館,重量訓練室二
455,體育（游泳中級）,00UP215,1,33,本部,游泳館一
456,體育（橄欖球）,00UP044,1,40,公館,體育館二3樓
457,體育（桌球初級）,00UP111,1,53,本部,桌球室
458,體育（有氧舞蹈）,00UP024,1,55,本部,大韻律教室
459,體育（游泳初級）,00UP115,1,33,本部,游泳館一
460,體育（現代舞初級）,00UP120,1,45,本部,大韻律教室
461,體育（跆拳道初級）,00UP129,1,55,公館,體育館二1樓
